epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1275.39,0.42285,0.60927,0.26686,1.01408,0.99888,1,0.995,0.9536,0.99888,1,0.995,0.92953,0.35103,0.61357,0.33202,0.8095,0.0009506,0.0009506,0.0009506
55,1298.87,0.4243,0.618,0.25697,1.01907,0.9986,1,0.995,0.96243,0.9986,1,0.995,0.92511,0.30361,0.57979,0.31302,0.76443,0.0009308,0.0009308,0.0009308
56,1322.47,0.41909,0.6188,0.26074,1.01476,0.99877,1,0.995,0.96521,0.99877,1,0.995,0.93604,0.30252,0.58098,0.22297,0.75983,0.000911,0.000911,0.000911
57,1346.06,0.42284,0.62545,0.26243,1.01389,0.99873,1,0.995,0.96337,0.99873,1,0.995,0.91871,0.33509,0.58085,0.26352,0.7922,0.0008912,0.0008912,0.0008912
58,1369.52,0.41681,0.60594,0.25467,1.01715,0.99872,1,0.995,0.93949,0.99872,1,0.995,0.93464,0.36042,0.53908,0.26703,0.8167,0.0008714,0.0008714,0.0008714
59,1393.05,0.40466,0.61406,0.25144,1.00384,0.99894,1,0.995,0.9438,0.99894,1,0.995,0.92276,0.32383,0.55572,0.22329,0.78195,0.0008516,0.0008516,0.0008516
60,1416.69,0.41559,0.61971,0.25568,1.01172,0.99878,1,0.995,0.97224,0.99878,1,0.995,0.94855,0.27659,0.50845,0.2102,0.7215,0.0008318,0.0008318,0.0008318
61,1440.31,0.41681,0.60594,0.25423,1.00906,0.99908,1,0.995,0.97043,0.99908,1,0.995,0.9382,0.30087,0.55925,0.22936,0.75103,0.000812,0.000812,0.000812
62,1463.88,0.40722,0.62896,0.2461,1.00728,0.99903,1,0.995,0.97128,0.99903,1,0.995,0.93935,0.3035,0.53778,0.24184,0.7539,0.0007922,0.0007922,0.0007922
63,1487.5,0.41108,0.602,0.24846,1.01023,0.9987,1,0.995,0.95824,0.9987,1,0.995,0.93464,0.29035,0.54599,0.44852,0.74246,0.0007724,0.0007724,0.0007724
64,1511.2,0.40636,0.61306,0.24906,1.00216,0.99895,1,0.995,0.96674,0.99895,1,0.995,0.93411,0.33248,0.55519,0.24788,0.77082,0.0007526,0.0007526,0.0007526
65,1534.86,0.40594,0.60273,0.24017,1.00962,0.99893,1,0.995,0.97866,0.99893,1,0.995,0.92556,0.2868,0.5446,0.24672,0.72475,0.0007328,0.0007328,0.0007328
66,1558.67,0.40214,0.60101,0.24387,1.00303,0.99899,1,0.995,0.9543,0.99899,1,0.995,0.92915,0.33461,0.59104,0.23366,0.77769,0.000713,0.000713,0.000713
67,1582.31,0.40925,0.61256,0.25106,1.01022,0.99889,1,0.995,0.96775,0.99889,1,0.995,0.94196,0.32502,0.54989,0.25604,0.78946,0.0006932,0.0006932,0.0006932
68,1605.92,0.4068,0.60507,0.24839,1.00637,0.99888,1,0.995,0.95992,0.99888,1,0.995,0.93591,0.30207,0.55384,0.22302,0.74659,0.0006734,0.0006734,0.0006734
69,1629.42,0.3966,0.59224,0.23491,1.00329,0.99897,1,0.995,0.97892,0.99897,1,0.995,0.92908,0.29077,0.5618,0.20917,0.72876,0.0006536,0.0006536,0.0006536
70,1653.07,0.39816,0.60122,0.23588,0.99708,0.999,1,0.995,0.97079,0.999,1,0.995,0.93278,0.29821,0.60762,0.19889,0.73917,0.0006338,0.0006338,0.0006338
71,1676.66,0.40114,0.6014,0.23995,1.00057,0.99865,1,0.995,0.97322,0.99865,1,0.995,0.93965,0.2945,0.57762,0.30957,0.72566,0.000614,0.000614,0.000614
72,1700.17,0.38887,0.59246,0.235,0.99691,1,0.99975,0.995,0.96488,1,0.99975,0.995,0.93252,0.33906,0.581,0.27369,0.78497,0.0005942,0.0005942,0.0005942
73,1723.65,0.39598,0.58465,0.23781,1.00718,0.99877,1,0.995,0.96769,0.99877,1,0.995,0.93071,0.30666,0.61895,0.25001,0.75649,0.0005744,0.0005744,0.0005744
74,1747.35,0.40121,0.60229,0.24418,0.99944,0.99885,1,0.995,0.97008,0.99885,1,0.995,0.93046,0.3023,0.57973,0.20684,0.74126,0.0005546,0.0005546,0.0005546
75,1770.87,0.39852,0.58727,0.23665,1.00189,0.99875,1,0.995,0.97294,0.99875,1,0.995,0.93039,0.28147,0.52823,0.20342,0.73218,0.0005348,0.0005348,0.0005348
76,1794.43,0.38929,0.58885,0.23477,0.99162,0.99898,1,0.995,0.96789,0.99898,1,0.995,0.94217,0.29186,0.54082,0.22122,0.73135,0.000515,0.000515,0.000515
77,1817.97,0.39173,0.58099,0.22662,1.0039,0.99904,1,0.995,0.97932,0.99904,1,0.995,0.93691,0.26092,0.56017,0.17904,0.69883,0.0004952,0.0004952,0.0004952
78,1841.45,0.39306,0.58722,0.23196,1.0001,0.99889,1,0.995,0.98274,0.99889,1,0.995,0.9303,0.29399,0.56667,0.21051,0.73958,0.0004754,0.0004754,0.0004754
79,1864.97,0.3944,0.58413,0.23345,1.00097,0.99865,1,0.995,0.96232,0.99865,1,0.995,0.94271,0.29273,0.58097,0.24528,0.74244,0.0004556,0.0004556,0.0004556
80,1888.48,0.38583,0.58641,0.22929,0.99579,0.9987,1,0.995,0.98076,0.9987,1,0.995,0.935,0.28033,0.56801,0.22878,0.72109,0.0004358,0.0004358,0.0004358
81,1911.91,0.39384,0.57994,0.23168,1.00055,0.99888,1,0.995,0.96884,0.99888,1,0.995,0.94137,0.32024,0.61076,0.23399,0.75512,0.000416,0.000416,0.000416
82,1935.42,0.38555,0.59038,0.22581,0.99266,0.99884,1,0.995,0.96868,0.99884,1,0.995,0.93608,0.30222,0.6001,0.22659,0.75488,0.0003962,0.0003962,0.0003962
83,1959.05,0.38924,0.57301,0.22729,1.00085,0.99876,1,0.995,0.9635,0.99876,1,0.995,0.92724,0.29782,0.57522,0.23375,0.73109,0.0003764,0.0003764,0.0003764
84,1982.57,0.38665,0.58476,0.22589,0.99098,0.99881,1,0.995,0.97055,0.99881,1,0.995,0.9417,0.28909,0.59317,0.21299,0.73792,0.0003566,0.0003566,0.0003566
85,2006.16,0.38566,0.57342,0.2253,0.99746,0.99884,1,0.995,0.96613,0.99884,1,0.995,0.93729,0.32267,0.57772,0.22958,0.74925,0.0003368,0.0003368,0.0003368
86,2029.6,0.37398,0.55699,0.22131,0.98304,0.99897,1,0.995,0.97544,0.99897,1,0.995,0.94242,0.28109,0.60635,0.2052,0.73318,0.000317,0.000317,0.000317
87,2053.17,0.37155,0.55456,0.21605,0.98594,0.99901,1,0.995,0.96743,0.99901,1,0.995,0.94406,0.30576,0.62235,0.2002,0.74051,0.0002972,0.0002972,0.0002972
88,2076.86,0.37737,0.56655,0.22153,0.99027,0.99902,1,0.995,0.9744,0.99902,1,0.995,0.9452,0.30773,0.60612,0.19033,0.7451,0.0002774,0.0002774,0.0002774
89,2100.49,0.38007,0.58314,0.21995,0.98831,0.99905,1,0.995,0.97436,0.99905,1,0.995,0.94656,0.2815,0.61463,0.17887,0.71807,0.0002576,0.0002576,0.0002576
90,2124.13,0.37558,0.56209,0.22576,0.98417,0.99897,1,0.995,0.95057,0.99897,1,0.995,0.94079,0.31698,0.6044,0.18601,0.7543,0.0002378,0.0002378,0.0002378
91,2149.17,0.22935,0.34481,0.17596,1.02801,0.99901,1,0.995,0.97676,0.99901,1,0.995,0.94058,0.29209,0.61707,0.19591,0.72346,0.000218,0.000218,0.000218
92,2171.83,0.22835,0.33639,0.14395,1.01062,0.99907,1,0.995,0.97982,0.99907,1,0.995,0.94448,0.29308,0.60718,0.19714,0.71701,0.0001982,0.0001982,0.0001982
93,2194.37,0.22467,0.32619,0.14277,1.02417,0.99904,1,0.995,0.9827,0.99904,1,0.995,0.94206,0.307,0.62932,0.21083,0.75239,0.0001784,0.0001784,0.0001784
94,2217.07,0.21019,0.32692,0.13065,0.99312,0.99906,1,0.995,0.98481,0.99906,1,0.995,0.95085,0.27533,0.59723,0.19098,0.71307,0.0001586,0.0001586,0.0001586
95,2239.76,0.21897,0.3338,0.13431,0.99967,0.99905,1,0.995,0.98392,0.99905,1,0.995,0.95515,0.27328,0.59162,0.17102,0.69633,0.0001388,0.0001388,0.0001388
96,2262.43,0.21461,0.32728,0.13421,1.00848,0.99904,1,0.995,0.97494,0.99904,1,0.995,0.94932,0.30464,0.59899,0.18749,0.73764,0.000119,0.000119,0.000119
97,2285,0.21949,0.32825,0.13306,1.00484,0.99902,1,0.995,0.98188,0.99902,1,0.995,0.95472,0.28318,0.59244,0.17507,0.71103,9.92e-05,9.92e-05,9.92e-05
98,2307.51,0.20911,0.32371,0.12768,0.98968,0.99902,1,0.995,0.98123,0.99902,1,0.995,0.95578,0.27446,0.59252,0.17437,0.70414,7.94e-05,7.94e-05,7.94e-05
99,2330.14,0.20304,0.3243,0.12378,0.99521,0.99906,1,0.995,0.98513,0.99906,1,0.995,0.95369,0.26821,0.59744,0.17798,0.69301,5.96e-05,5.96e-05,5.96e-05
100,2352.89,0.21425,0.32456,0.12481,0.99928,0.99905,1,0.995,0.98171,0.99905,1,0.995,0.9557,0.27277,0.59445,0.18735,0.70377,3.98e-05,3.98e-05,3.98e-05
